restaurant_id,item_name,category,price
75,Gulab Jamun,Dessert,13.45
75,Margherita Pizza,Pizza,7.27
11,Biryani,Main Course,14.85
25,Pepperoni Pizza,Pizza,22.85
26,Pepperoni Pizza,Pizza,12.14
3,Farmhouse Pizza,Pizza,7.17
4,Coke,Beverage,11.76
78,Farmhouse Pizza,Pizza,10.12
69,Farmhouse Pizza,Pizza,15.12
23,Coke,Beverage,20.01
65,Brownie,Dessert,11.78
49,Pepperoni Pizza,Pizza,26.36
60,Biryani,Main Course,23.07
80,Butter Chicken,Main Course,6.07
60,Farmhouse Pizza,Pizza,8.96
42,Coke,Beverage,15.85
13,Pepperoni Pizza,Pizza,7.81
65,Veg Burger,Burger,22.71
25,Mango Shake,Beverage,22.78
57,Paneer Butter Masala,Main Course,10.12
75,Pepperoni Pizza,Pizza,18.34
92,Farmhouse Pizza,Pizza,12.12
48,Pepperoni Pizza,Pizza,15.42
63,Lemonade,Beverage,28.23
86,Butter Chicken,Main Course,6.05
9,Farmhouse Pizza,Pizza,3.98
11,Chicken Burger,Burger,24.05
51,Coke,Beverage,23.73
11,Lemonade,Beverage,10.59
28,Mango Shake,Beverage,6.31
65,Butter Chicken,Main Course,16.81
79,Ice Cream,Dessert,23.26
27,Brownie,Dessert,25.84
85,Biryani,Main Course,10.34
23,Veg Supreme,Pizza,11.82
10,Mango Shake,Beverage,16.25
85,Paneer Butter Masala,Main Course,17.14
1,Coke,Beverage,11.94
42,Pepperoni Pizza,Pizza,29.89
18,Ice Cream,Dessert,29.97
75,Coke,Beverage,16.87
68,Gulab Jamun,Dessert,22.82
75,Biryani,Main Course,28.06
21,Butter Chicken,Main Course,22.8
9,Lemonade,Beverage,22.62
72,Gulab Jamun,Dessert,20.47
9,Paneer Burger,Burger,11.63
36,Ice Cream,Dessert,19.56
46,Cheese Burger,Burger,27.68
51,Chicken Burger,Burger,8.58
86,Brownie,Dessert,5.13
29,Margherita Pizza,Pizza,18.2
56,Veg Burger,Burger,15.92
48,Pepperoni Pizza,Pizza,28.27
82,Veg Burger,Burger,20.49
80,Chicken Burger,Burger,4.53
84,Mango Shake,Beverage,17.53
14,Lemonade,Beverage,11.18
57,Paneer Burger,Burger,3.9
87,Fried Rice,Main Course,13.48
62,Cold Coffee,Beverage,4.2
63,Paneer Burger,Burger,15.92
33,Gulab Jamun,Dessert,9.21
84,Brownie,Dessert,22.89
4,Chicken Burger,Burger,5.69
93,Biryani,Main Course,7.84
76,Veg Burger,Burger,20.0
16,Margherita Pizza,Pizza,26.27
58,Biryani,Main Course,11.63
74,Paneer Butter Masala,Main Course,22.28
91,Coke,Beverage,24.88
71,Paneer Butter Masala,Main Course,4.66
70,Butter Chicken,Main Course,13.79
74,Brownie,Dessert,14.68
65,Veg Supreme,Pizza,14.07
27,Paneer Burger,Burger,6.08
65,Paneer Butter Masala,Main Course,6.97
45,Farmhouse Pizza,Pizza,19.31
100,Pepperoni Pizza,Pizza,7.6
6,Paneer Butter Masala,Main Course,8.98
46,Cheesecake,Dessert,7.79
97,Mango Shake,Beverage,14.95
100,Veg Burger,Burger,19.75
72,Cheese Burger,Burger,10.66
20,Lemonade,Beverage,25.01
46,Margherita Pizza,Pizza,10.35
80,Brownie,Dessert,16.3
49,Margherita Pizza,Pizza,16.84
26,Veg Supreme,Pizza,14.23
96,Cold Coffee,Beverage,18.09
70,Coke,Beverage,16.53
7,Coke,Beverage,8.97
13,Margherita Pizza,Pizza,10.65
53,Ice Cream,Dessert,18.86
91,Lemonade,Beverage,14.15
75,Cold Coffee,Beverage,5.81
78,Cold Coffee,Beverage,20.93
53,Biryani,Main Course,5.18
95,Cold Coffee,Beverage,9.07
25,Mango Shake,Beverage,20.44
14,Farmhouse Pizza,Pizza,5.67
41,Gulab Jamun,Dessert,3.24
77,Biryani,Main Course,7.09
4,Veg Burger,Burger,16.05
100,Veg Supreme,Pizza,10.91
84,Veg Supreme,Pizza,6.98
70,Veg Burger,Burger,27.33
72,Gulab Jamun,Dessert,11.03
97,Biryani,Main Course,22.72
65,Paneer Butter Masala,Main Course,20.19
12,Cold Coffee,Beverage,13.36
75,Coke,Beverage,6.11
79,Ice Cream,Dessert,5.57
30,Veg Supreme,Pizza,6.94
72,Paneer Butter Masala,Main Course,13.33
7,Brownie,Dessert,20.8
49,Veg Burger,Burger,15.08
45,Cheese Burger,Burger,3.32
58,Veg Burger,Burger,11.03
59,Cold Coffee,Beverage,23.73
7,Cheesecake,Dessert,20.27
82,Coke,Beverage,3.45
23,Gulab Jamun,Dessert,16.59
10,Mango Shake,Beverage,13.91
12,Coke,Beverage,27.78
18,Veg Burger,Burger,7.39
25,Lemonade,Beverage,16.87
73,Fried Rice,Main Course,9.23
94,Fried Rice,Main Course,14.29
61,Brownie,Dessert,9.78
89,Farmhouse Pizza,Pizza,23.66
61,Mango Shake,Beverage,9.18
89,Coke,Beverage,6.8
32,Coke,Beverage,6.53
41,Chicken Burger,Burger,26.69
39,Butter Chicken,Main Course,11.03
99,Coke,Beverage,19.34
60,Ice Cream,Dessert,4.83
55,Ice Cream,Dessert,3.09
9,Coke,Beverage,27.88
45,Cheese Burger,Burger,15.89
98,Pepperoni Pizza,Pizza,3.54
73,Lemonade,Beverage,18.25
97,Mango Shake,Beverage,24.62
59,Farmhouse Pizza,Pizza,5.19
27,Cheese Burger,Burger,5.33
50,Fried Rice,Main Course,13.3
83,Paneer Butter Masala,Main Course,11.07
73,Coke,Beverage,9.34
86,Farmhouse Pizza,Pizza,22.17
1,Veg Supreme,Pizza,6.07
75,Cheesecake,Dessert,11.53
88,Pepperoni Pizza,Pizza,18.86
44,Ice Cream,Dessert,11.9
46,Gulab Jamun,Dessert,28.0
80,Paneer Burger,Burger,11.03
37,Margherita Pizza,Pizza,16.62
70,Ice Cream,Dessert,21.22
2,Cheese Burger,Burger,19.87
4,Paneer Burger,Burger,13.74
33,Mango Shake,Beverage,15.83
53,Coke,Beverage,23.77
30,Lemonade,Beverage,26.06
94,Chicken Burger,Burger,7.79
73,Butter Chicken,Main Course,20.88
47,Pepperoni Pizza,Pizza,27.66
85,Margherita Pizza,Pizza,23.96
55,Mango Shake,Beverage,4.43
38,Gulab Jamun,Dessert,26.22
73,Margherita Pizza,Pizza,24.14
89,Gulab Jamun,Dessert,4.2
27,Veg Supreme,Pizza,6.36
93,Veg Supreme,Pizza,5.9
82,Fried Rice,Main Course,29.13
49,Margherita Pizza,Pizza,23.97
22,Paneer Burger,Burger,26.08
12,Veg Burger,Burger,29.49
98,Chicken Burger,Burger,23.97
10,Veg Burger,Burger,15.77
76,Cold Coffee,Beverage,7.63
13,Paneer Butter Masala,Main Course,5.57
60,Veg Burger,Burger,11.75
20,Cold Coffee,Beverage,29.14
43,Biryani,Main Course,9.75
58,Cold Coffee,Beverage,23.02
95,Brownie,Dessert,9.47
31,Paneer Burger,Burger,26.43
74,Ice Cream,Dessert,15.09
44,Veg Burger,Burger,18.45
90,Paneer Butter Masala,Main Course,10.59
96,Veg Supreme,Pizza,14.5
56,Margherita Pizza,Pizza,10.97
44,Fried Rice,Main Course,29.95
59,Mango Shake,Beverage,18.24
15,Butter Chicken,Main Course,24.53
71,Margherita Pizza,Pizza,4.62
42,Coke,Beverage,11.04
63,Gulab Jamun,Dessert,9.51
57,Cheese Burger,Burger,28.55
76,Cold Coffee,Beverage,22.17
13,Mango Shake,Beverage,12.16
54,Brownie,Dessert,19.78
97,Veg Burger,Burger,26.91
37,Lemonade,Beverage,14.75
12,Margherita Pizza,Pizza,10.33
35,Margherita Pizza,Pizza,9.99
96,Cheese Burger,Burger,12.51
29,Paneer Burger,Burger,25.99
74,Ice Cream,Dessert,14.0
25,Cold Coffee,Beverage,7.64
31,Gulab Jamun,Dessert,18.65
16,Brownie,Dessert,25.14
12,Gulab Jamun,Dessert,13.51
47,Veg Supreme,Pizza,16.06
93,Brownie,Dessert,25.78
28,Mango Shake,Beverage,18.75
15,Cheese Burger,Burger,17.51
58,Veg Burger,Burger,3.01
78,Veg Supreme,Pizza,10.97
76,Cheese Burger,Burger,22.42
79,Pepperoni Pizza,Pizza,3.05
17,Mango Shake,Beverage,8.46
58,Chicken Burger,Burger,5.6
23,Paneer Butter Masala,Main Course,5.0
90,Paneer Butter Masala,Main Course,18.25
7,Pepperoni Pizza,Pizza,8.23
8,Mango Shake,Beverage,26.92
80,Fried Rice,Main Course,27.04
82,Cold Coffee,Beverage,11.69
51,Brownie,Dessert,10.98
69,Lemonade,Beverage,9.09
27,Margherita Pizza,Pizza,13.51
42,Butter Chicken,Main Course,8.74
29,Pepperoni Pizza,Pizza,28.36
57,Margherita Pizza,Pizza,23.47
61,Paneer Burger,Burger,17.53
20,Chicken Burger,Burger,23.75
73,Farmhouse Pizza,Pizza,6.09
98,Farmhouse Pizza,Pizza,26.74
81,Veg Burger,Burger,5.45
85,Cheese Burger,Burger,21.31
39,Cheesecake,Dessert,19.31
12,Veg Burger,Burger,14.38
97,Cold Coffee,Beverage,5.14
1,Veg Burger,Burger,17.97
32,Veg Burger,Burger,12.99
82,Mango Shake,Beverage,11.72
3,Veg Supreme,Pizza,22.13
69,Paneer Butter Masala,Main Course,19.58
57,Veg Burger,Burger,3.12
2,Paneer Burger,Burger,3.84
76,Paneer Burger,Burger,27.82
97,Cheese Burger,Burger,13.35
3,Mango Shake,Beverage,23.84
55,Margherita Pizza,Pizza,6.1
86,Margherita Pizza,Pizza,19.7
34,Lemonade,Beverage,13.16
72,Gulab Jamun,Dessert,19.22
55,Cheese Burger,Burger,20.82
91,Brownie,Dessert,12.77
43,Farmhouse Pizza,Pizza,6.16
81,Fried Rice,Main Course,13.88
93,Margherita Pizza,Pizza,26.69
42,Farmhouse Pizza,Pizza,27.17
7,Veg Burger,Burger,26.73
31,Cheese Burger,Burger,11.02
75,Fried Rice,Main Course,26.53
16,Gulab Jamun,Dessert,3.07
77,Mango Shake,Beverage,11.4
53,Lemonade,Beverage,15.25
35,Biryani,Main Course,3.41
45,Butter Chicken,Main Course,28.02
89,Cold Coffee,Beverage,21.41
26,Veg Burger,Burger,4.77
18,Cold Coffee,Beverage,8.78
98,Butter Chicken,Main Course,5.32
16,Mango Shake,Beverage,28.51
26,Paneer Butter Masala,Main Course,3.22
30,Chicken Burger,Burger,28.47
97,Butter Chicken,Main Course,6.25
5,Mango Shake,Beverage,13.24
65,Brownie,Dessert,24.93
55,Gulab Jamun,Dessert,18.77
59,Cheesecake,Dessert,16.52
27,Veg Supreme,Pizza,26.73
27,Veg Supreme,Pizza,3.17
10,Margherita Pizza,Pizza,4.04
20,Mango Shake,Beverage,7.34
52,Farmhouse Pizza,Pizza,10.47
82,Mango Shake,Beverage,10.55
97,Paneer Butter Masala,Main Course,27.41
72,Fried Rice,Main Course,11.94
76,Biryani,Main Course,21.82
58,Cheesecake,Dessert,4.1
48,Biryani,Main Course,6.84
45,Paneer Burger,Burger,10.89
86,Chicken Burger,Burger,28.22
89,Cheesecake,Dessert,28.3
46,Brownie,Dessert,15.04
53,Margherita Pizza,Pizza,14.91
89,Cold Coffee,Beverage,26.2
55,Lemonade,Beverage,11.88
35,Gulab Jamun,Dessert,10.25
84,Ice Cream,Dessert,24.15
50,Butter Chicken,Main Course,28.39
14,Lemonade,Beverage,14.31
4,Butter Chicken,Main Course,29.14
22,Lemonade,Beverage,25.1
26,Margherita Pizza,Pizza,27.19
49,Butter Chicken,Main Course,20.55
15,Paneer Butter Masala,Main Course,18.55
49,Ice Cream,Dessert,29.65
17,Paneer Burger,Burger,8.66
95,Veg Supreme,Pizza,22.81
28,Lemonade,Beverage,4.34
4,Ice Cream,Dessert,26.31
14,Veg Burger,Burger,7.41
8,Chicken Burger,Burger,21.06
87,Mango Shake,Beverage,9.16
78,Butter Chicken,Main Course,17.95
54,Margherita Pizza,Pizza,11.9
76,Gulab Jamun,Dessert,10.1
60,Mango Shake,Beverage,13.62
96,Ice Cream,Dessert,28.79
6,Fried Rice,Main Course,5.93
93,Farmhouse Pizza,Pizza,16.41
71,Ice Cream,Dessert,6.61
91,Cold Coffee,Beverage,22.93
12,Mango Shake,Beverage,20.07
87,Veg Supreme,Pizza,18.33
6,Coke,Beverage,22.65
15,Ice Cream,Dessert,15.23
43,Biryani,Main Course,7.68
72,Mango Shake,Beverage,28.14
84,Pepperoni Pizza,Pizza,22.97
10,Fried Rice,Main Course,25.71
53,Veg Supreme,Pizza,8.42
12,Pepperoni Pizza,Pizza,5.01
72,Gulab Jamun,Dessert,7.18
90,Coke,Beverage,21.11
86,Brownie,Dessert,25.22
35,Cheesecake,Dessert,16.02
82,Pepperoni Pizza,Pizza,9.34
66,Biryani,Main Course,16.93
91,Paneer Butter Masala,Main Course,11.5
84,Biryani,Main Course,11.18
8,Paneer Butter Masala,Main Course,21.82
79,Paneer Burger,Burger,12.43
24,Butter Chicken,Main Course,21.18
84,Coke,Beverage,11.02
37,Mango Shake,Beverage,21.66
31,Pepperoni Pizza,Pizza,16.27
19,Coke,Beverage,24.02
60,Butter Chicken,Main Course,24.85
32,Veg Supreme,Pizza,18.28
78,Brownie,Dessert,8.17
45,Pepperoni Pizza,Pizza,22.47
81,Lemonade,Beverage,13.5
80,Coke,Beverage,20.87
73,Gulab Jamun,Dessert,28.44
74,Fried Rice,Main Course,8.97
66,Cheese Burger,Burger,22.81
62,Biryani,Main Course,20.29
64,Gulab Jamun,Dessert,25.46
25,Mango Shake,Beverage,13.59
93,Cheesecake,Dessert,3.79
94,Paneer Burger,Burger,25.54
12,Cheese Burger,Burger,22.07
6,Cheese Burger,Burger,18.17
89,Mango Shake,Beverage,23.34
73,Brownie,Dessert,14.44
70,Ice Cream,Dessert,6.03
30,Mango Shake,Beverage,11.02
22,Ice Cream,Dessert,18.14
30,Gulab Jamun,Dessert,21.01
94,Cheese Burger,Burger,25.89
14,Mango Shake,Beverage,13.31
23,Farmhouse Pizza,Pizza,21.38
5,Cheesecake,Dessert,5.05
77,Pepperoni Pizza,Pizza,5.61
32,Chicken Burger,Burger,28.81
43,Farmhouse Pizza,Pizza,17.77
92,Paneer Butter Masala,Main Course,28.28
89,Paneer Burger,Burger,6.42
65,Farmhouse Pizza,Pizza,28.22
89,Margherita Pizza,Pizza,16.85
93,Gulab Jamun,Dessert,25.96
2,Cheese Burger,Burger,19.78
43,Fried Rice,Main Course,27.75
96,Veg Burger,Burger,6.86
23,Paneer Burger,Burger,29.95
98,Veg Supreme,Pizza,7.8
79,Brownie,Dessert,28.83
100,Cheesecake,Dessert,28.1
41,Cold Coffee,Beverage,14.81
100,Paneer Butter Masala,Main Course,14.26
38,Cold Coffee,Beverage,12.52
98,Pepperoni Pizza,Pizza,24.66
22,Fried Rice,Main Course,17.41
13,Farmhouse Pizza,Pizza,15.93
29,Gulab Jamun,Dessert,16.65
84,Ice Cream,Dessert,19.33
30,Butter Chicken,Main Course,15.62
84,Fried Rice,Main Course,27.87
93,Ice Cream,Dessert,6.4
1,Veg Supreme,Pizza,27.44
75,Paneer Butter Masala,Main Course,9.76
67,Mango Shake,Beverage,29.33
92,Cheesecake,Dessert,11.04
79,Coke,Beverage,26.97
97,Margherita Pizza,Pizza,9.71
85,Pepperoni Pizza,Pizza,24.23
92,Butter Chicken,Main Course,9.94
20,Gulab Jamun,Dessert,16.98
73,Pepperoni Pizza,Pizza,3.69
75,Coke,Beverage,25.12
35,Mango Shake,Beverage,17.5
53,Paneer Butter Masala,Main Course,4.81
78,Chicken Burger,Burger,23.89
68,Biryani,Main Course,4.19
100,Paneer Burger,Burger,18.3
59,Coke,Beverage,11.67
91,Mango Shake,Beverage,17.21
69,Ice Cream,Dessert,29.11
20,Cheesecake,Dessert,23.06
100,Butter Chicken,Main Course,17.94
44,Cheesecake,Dessert,27.75
47,Veg Burger,Burger,22.88
96,Paneer Butter Masala,Main Course,17.84
33,Veg Supreme,Pizza,15.18
60,Butter Chicken,Main Course,25.55
54,Mango Shake,Beverage,11.11
28,Farmhouse Pizza,Pizza,10.03
74,Gulab Jamun,Dessert,18.57
55,Veg Supreme,Pizza,20.73
83,Coke,Beverage,19.29
6,Chicken Burger,Burger,19.06
94,Cheesecake,Dessert,21.59
96,Cold Coffee,Beverage,20.84
26,Brownie,Dessert,14.4
31,Paneer Burger,Burger,6.89
65,Farmhouse Pizza,Pizza,29.21
78,Coke,Beverage,28.61
56,Paneer Burger,Burger,23.9
6,Cheese Burger,Burger,12.74
57,Gulab Jamun,Dessert,3.52
55,Biryani,Main Course,12.93
84,Chicken Burger,Burger,16.39
76,Margherita Pizza,Pizza,19.7
97,Biryani,Main Course,10.14
