order_id,customer_id,restaurant_id,payment_id,order_date,order_status
1,58,1,1,2024-06-12,Preparing
2,115,5,2,2024-03-03,Preparing
3,380,18,3,2024-06-22,Delivered
4,17,1,4,2024-04-18,Delivered
5,259,20,5,2024-02-29,Delivered
6,367,18,6,2024-02-20,Delivered
7,302,9,7,2024-04-24,Out for Delivery
8,389,6,8,2024-01-02,Delivered
9,143,5,9,2024-03-28,Delivered
10,53,3,10,2024-03-27,Delivered
11,434,12,11,2024-04-01,Delivered
12,374,15,12,2024-01-12,Delivered
13,41,18,13,2024-04-06,Delivered
14,317,12,14,2024-06-09,Delivered
15,36,2,15,2024-06-29,Delivered
16,41,8,16,2024-03-15,Out for Delivery
17,143,15,17,2024-04-07,Delivered
18,84,12,18,2024-04-03,Delivered
19,137,3,19,2024-06-20,Delivered
20,274,8,20,2024-02-13,Delivered
21,139,18,21,2024-04-07,Delivered
22,432,2,22,2024-03-24,Delivered
23,413,11,23,2024-01-09,Delivered
24,109,19,24,2024-01-17,Out for Delivery
25,109,16,25,2024-03-21,Delivered
26,235,5,26,2024-06-13,Delivered
27,382,18,27,2024-03-04,Delivered
28,220,19,28,2024-05-29,Delivered
29,71,17,29,2024-02-26,Delivered
30,441,4,30,2024-01-13,Delivered
31,406,14,31,2024-02-10,Delivered
32,196,20,32,2024-04-08,Cancelled
33,129,18,33,2024-05-15,Out for Delivery
34,349,4,34,2024-01-03,Delivered
35,385,9,35,2024-05-17,Preparing
36,58,10,36,2024-03-28,Delivered
37,2,9,37,2024-04-26,Cancelled
38,260,4,38,2024-02-15,Out for Delivery
39,431,17,39,2024-03-17,Delivered
40,192,6,40,2024-02-09,Delivered
41,471,1,41,2024-05-15,Delivered
42,10,4,42,2024-05-05,Out for Delivery
43,123,2,43,2024-03-19,Delivered
44,485,3,44,2024-05-25,Delivered
45,418,3,45,2024-05-04,Cancelled
46,393,5,46,2024-05-16,Delivered
47,485,18,47,2024-05-01,Delivered
48,447,20,48,2024-05-15,Delivered
49,476,18,49,2024-02-24,Preparing
50,103,10,50,2024-06-25,Delivered
51,333,12,51,2024-06-20,Delivered
52,232,4,52,2024-05-12,Delivered
53,174,1,53,2024-01-17,Delivered
54,302,8,54,2024-02-28,Delivered
55,324,2,55,2024-06-30,Delivered
56,441,11,56,2024-01-09,Delivered
57,143,16,57,2024-03-01,Delivered
58,371,19,58,2024-02-03,Delivered
